TB3MS,T10Y3MM,T10Y2YM,FEDFUNDS,BAA10YM,AAA10YM
0.02,2.28,1.85,0.09,2.39,1.62
0.02,2.31,1.8,0.09,2.46,1.59
0.03,2.18,1.57,0.12,2.53,1.58
0.03,1.85,1.33,0.11,2.57,1.58
0.02,1.96,1.36,0.11,2.53,1.63
0.03,2.01,1.4,0.11,2.5,1.6
0.02,1.92,1.4,0.12,2.54,1.58
0.02,2.18,1.59,0.12,2.69,1.78
0.02,2.34,1.67,0.13,2.77,1.83
0.03,2.29,1.65,0.13,2.88,1.83
0.07,2.1,1.47,0.14,3.02,1.87
0.02,2.15,1.46,0.14,3.17,1.9
0.02,2.05,1.43,0.12,3.27,1.88
0.12,2.13,1.38,0.12,3.2,1.8
0.23,2.01,1.26,0.24,3.22,1.73
0.26,1.83,1.19,0.34,3.36,1.91
0.31,1.47,1.05,0.38,3.56,2.18
0.29,1.59,1.01,0.36,3.24,1.93
0.23,1.58,1.04,0.37,2.98,1.81
0.27,1.53,0.99,0.37,2.87,1.84
0.27,1.37,0.91,0.38,2.89,1.86
0.3,1.2,0.83,0.39,2.72,1.78
0.3,1.26,0.82,0.4,2.68,1.76
0.29,1.34,0.86,0.4,2.68,1.78
0.33,1.43,0.92,0.4,2.62,1.75
0.45,1.69,1.16,0.41,2.57,1.72
0.51,1.98,1.29,0.54,2.34,1.57
0.51,1.91,1.22,0.65,2.23,1.49
0.52,1.89,1.22,0.66,2.22,1.53
0.74,1.73,1.17,0.79,2.2,1.53
0.8,1.49,1.06,0.9,2.27,1.57
0.89,1.4,1,0.91,2.25,1.55
0.98,1.19,0.85,1.04,2.18,1.49
1.07,1.23,0.95,1.15,2.07,1.38
1.01,1.18,0.87,1.16,2.1,1.42
1.03,1.15,0.82,1.15,2.1,1.43
1.07,1.27,0.81,1.15,1.96,1.24
