T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
0.38,-0.02,4.98,5.56,8.5,5.12,-0.06,1.6504,5.5,5.52
0.37,0,4.96,5.54,8.5,5.09,-0.08,1.6437,5.46,5.46
0.3,0.07,4.9,5.55,8.5,5.04,-0.21,1.6342,5.34,5.27
0.07,0.14,4.61,5.51,8.49,4.74,-0.7,1.6823,4.81,4.67
0.46,0.44,3.96,5.07,8.12,4.07,-0.54,1.6944,4.53,4.09
0.3,0.29,4.41,4.83,7.89,4.53,0,1.6611,4.83,4.54
0.15,0.14,4.39,4.68,7.75,4.5,-0.03,1.6708,4.65,4.51
0.27,0.1,4.34,4.63,7.75,4.45,0.09,1.6498,4.72,4.62
0.44,0.12,4.44,4.76,7.75,4.56,0.24,1.6276,5,4.88
0.66,0.18,4.44,4.81,7.75,4.57,0.42,1.6213,5.23,5.05
0.77,0.2,4.29,4.74,7.75,4.41,0.44,1.6089,5.18,4.98
0.91,0.29,4.5,4.74,7.75,4.63,0.8,1.6154,5.54,5.25
1.18,0.28,4.57,4.76,7.75,4.72,1.14,1.595,5.9,5.62
1.1,0.24,4.55,4.99,8,4.69,0.8,1.5751,5.79,5.55
1.07,0.26,4.72,5.07,8.06,4.87,0.87,1.6058,5.94,5.68
1.1,0.26,4.68,5.22,8.25,4.82,0.7,1.6247,5.92,5.66
1.09,0.25,4.86,5.2,8.25,5.02,0.91,1.6572,6.11,5.86
0.8,0.17,5.07,5.42,8.37,5.23,0.61,1.6205,6.03,5.86
0.92,0.18,5.2,5.3,8.5,5.36,0.98,1.6132,6.28,6.1
1.16,0.22,5.32,5.45,8.5,5.5,1.21,1.6404,6.66,6.44
0.79,-0.09,5.55,5.73,8.73,5.73,0.79,1.6,6.52,6.61
0.4,-0.27,5.69,5.85,8.83,5.86,0.41,1.5799,6.26,6.53
0.17,-0.41,5.66,6.02,9,5.82,-0.03,1.5823,5.99,6.4
0.45,-0.37,5.79,6.27,9.24,5.99,0.17,1.509,6.44,6.81
0.24,-0.38,5.69,6.53,9.5,5.86,-0.43,1.5092,6.1,6.48
-0.09,-0.29,5.96,6.54,9.5,6.14,-0.49,1.5076,6.05,6.34
-0.45,-0.4,6.09,6.5,9.5,6.28,-0.67,1.4889,5.83,6.23
-0.38,-0.28,6,6.52,9.5,6.18,-0.72,1.4336,5.8,6.08
-0.55,-0.17,6.11,6.51,9.5,6.29,-0.77,1.4506,5.74,5.91
-0.64,-0.16,6.17,6.51,9.5,6.36,-0.79,1.4258,5.72,5.88
-0.7,-0.11,5.77,6.4,9.5,5.94,-1.16,1.4629,5.24,5.35
-0.13,0.4,5.15,5.98,9.05,5.29,-0.82,1.4775,5.16,4.76
0.09,0.44,4.88,5.49,8.5,5.01,-0.39,1.4525,5.1,4.66
