T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,T10YFFM,GS10,GS2
-0.21,-0.05,4.81,5.25,-0.53,4.72,4.77
-0.32,-0.07,4.92,5.25,-0.52,4.73,4.8
-0.47,-0.14,4.94,5.25,-0.65,4.6,4.74
-0.41,-0.11,4.85,5.24,-0.68,4.56,4.67
-0.35,-0.12,4.98,5.25,-0.49,4.76,4.88
-0.44,-0.13,5.03,5.26,-0.54,4.72,4.85
-0.52,-0.01,4.94,5.26,-0.7,4.56,4.57
-0.32,0.02,4.87,5.25,-0.56,4.69,4.67
-0.12,-0.02,4.73,5.25,-0.5,4.75,4.77
0.36,0.12,4.61,5.25,-0.15,5.1,4.98
0.04,0.18,4.82,5.26,-0.26,5,4.82
0.35,0.36,4.2,5.02,-0.35,4.67,4.31
0.53,0.51,3.89,4.94,-0.42,4.52,4.01
0.53,0.56,3.9,4.76,-0.23,4.53,3.97
0.8,0.81,3.27,4.49,-0.34,4.15,3.34
1.03,0.98,3,4.24,-0.14,4.1,3.12
0.92,1.26,2.75,3.94,-0.2,3.74,2.48
1.57,1.77,2.12,2.98,0.76,3.74,1.97
2.23,1.89,1.26,2.61,0.9,3.51,1.62
2.37,1.63,1.29,2.28,1.4,3.68,2.05
2.12,1.43,1.73,1.98,1.9,3.88,2.45
2.21,1.33,1.86,2,2.1,4.1,2.77
2.35,1.44,1.63,2.01,2,4.01,2.57
2.14,1.47,1.72,2,1.89,3.89,2.42
2.54,1.61,1.13,1.81,1.88,3.69,2.08
3.12,2.2,0.67,0.97,2.84,3.81,1.61
3.34,2.32,0.19,0.39,3.14,3.53,1.21
2.39,1.6,0.03,0.16,2.26,2.42,0.82
2.39,1.71,0.13,0.15,2.37,2.52,0.81
2.57,1.89,0.3,0.22,2.65,2.87,0.98
2.6,1.89,0.21,0.18,2.64,2.82,0.93
2.77,2,0.16,0.15,2.78,2.93,0.93
3.11,2.36,0.18,0.18,3.11,3.29,0.93
3.54,2.54,0.18,0.21,3.51,3.72,1.18
3.38,2.54,0.18,0.16,3.4,3.56,1.02
3.42,2.47,0.17,0.16,3.43,3.59,1.12
3.28,2.44,0.12,0.15,3.25,3.4,0.96
3.32,2.44,0.07,0.12,3.27,3.39,0.95
3.35,2.6,0.05,0.12,3.28,3.4,0.8
3.54,2.72,0.05,0.12,3.47,3.59,0.87
3.67,2.8,0.06,0.11,3.62,3.73,0.93
3.58,2.83,0.11,0.13,3.56,3.69,0.86
3.58,2.77,0.15,0.16,3.57,3.73,0.96
3.69,2.79,0.16,0.2,3.65,3.85,1.06
3.26,2.59,0.16,0.2,3.22,3.42,0.83
3.08,2.48,0.12,0.18,3.02,3.2,0.72
2.85,2.39,0.16,0.18,2.83,3.01,0.62
2.54,2.18,0.16,0.19,2.51,2.7,0.52
2.5,2.17,0.15,0.19,2.46,2.65,0.48
2.41,2.16,0.13,0.19,2.35,2.54,0.38
2.62,2.31,0.14,0.19,2.57,2.76,0.45
3.15,2.67,0.14,0.18,3.11,3.29,0.62
3.24,2.78,0.15,0.17,3.22,3.39,0.61
3.45,2.81,0.13,0.16,3.42,3.58,0.77
3.31,2.71,0.1,0.14,3.27,3.41,0.7
3.4,2.73,0.06,0.1,3.36,3.46,0.73
3.13,2.61,0.04,0.09,3.08,3.17,0.56
2.96,2.59,0.04,0.09,2.91,3,0.41
2.96,2.59,0.04,0.07,2.93,3,0.41
2.28,2.07,0.02,0.1,2.2,2.3,0.23
1.97,1.77,0.01,0.08,1.9,1.98,0.21
2.13,1.87,0.02,0.07,2.08,2.15,0.28
2,1.76,0.01,0.08,1.93,2.01,0.25
1.97,1.72,0.01,0.07,1.91,1.98,0.26
1.94,1.73,0.03,0.08,1.89,1.97,0.24
1.88,1.69,0.09,0.1,1.87,1.97,0.28
2.09,1.83,0.08,0.13,2.04,2.17,0.34
1.97,1.76,0.08,0.14,1.91,2.05,0.29
1.71,1.51,0.09,0.16,1.64,1.8,0.29
1.53,1.33,0.09,0.16,1.46,1.62,0.29
1.43,1.28,0.1,0.16,1.37,1.53,0.25
1.58,1.41,0.1,0.13,1.55,1.68,0.27
1.61,1.46,0.11,0.14,1.58,1.72,0.26
1.65,1.47,0.1,0.16,1.59,1.75,0.28
1.56,1.38,0.09,0.16,1.49,1.65,0.27
1.65,1.46,0.07,0.16,1.56,1.72,0.26
1.84,1.64,0.07,0.14,1.77,1.91,0.27
1.88,1.71,0.1,0.15,1.83,1.98,0.27
1.87,1.7,0.09,0.14,1.82,1.96,0.26
1.7,1.53,0.06,0.15,1.61,1.76,0.23
1.89,1.68,0.04,0.11,1.82,1.93,0.25
2.25,1.97,0.05,0.09,2.21,2.3,0.33
2.54,2.24,0.04,0.09,2.49,2.58,0.34
2.7,2.38,0.04,0.08,2.66,2.74,0.36
2.79,2.41,0.02,0.08,2.73,2.81,0.4
2.57,2.28,0.05,0.09,2.53,2.62,0.34
2.65,2.42,0.07,0.08,2.64,2.72,0.3
2.83,2.56,0.07,0.09,2.81,2.9,0.34
2.82,2.47,0.04,0.07,2.79,2.86,0.39
2.66,2.38,0.05,0.07,2.64,2.71,0.33
2.67,2.32,0.05,0.08,2.64,2.72,0.4
2.68,2.29,0.03,0.09,2.62,2.71,0.42
2.53,2.17,0.03,0.09,2.47,2.56,0.39
2.56,2.15,0.04,0.1,2.5,2.6,0.45
2.51,2.03,0.03,0.09,2.45,2.54,0.51
2.39,1.95,0.03,0.09,2.33,2.42,0.47
2.51,1.96,0.02,0.09,2.44,2.53,0.57
2.28,1.85,0.02,0.09,2.21,2.3,0.45
2.31,1.8,0.02,0.09,2.24,2.33,0.53
2.18,1.57,0.03,0.12,2.09,2.21,0.64
1.85,1.33,0.03,0.11,1.77,1.88,0.55
1.96,1.36,0.02,0.11,1.87,1.98,0.62
2.01,1.4,0.03,0.11,1.93,2.04,0.64
1.92,1.4,0.02,0.12,1.82,1.94,0.54
2.18,1.59,0.02,0.12,2.08,2.2,0.61
2.34,1.67,0.02,0.13,2.23,2.36,0.69
2.29,1.65,0.03,0.13,2.19,2.32,0.67
2.1,1.47,0.07,0.14,2.03,2.17,0.7
2.15,1.46,0.02,0.14,2.03,2.17,0.71
2.05,1.43,0.02,0.12,1.95,2.07,0.64
2.13,1.38,0.12,0.12,2.14,2.26,0.88
2.01,1.26,0.23,0.24,2,2.24,0.98
1.83,1.19,0.26,0.34,1.75,2.09,0.9
1.47,1.05,0.31,0.38,1.4,1.78,0.73
1.59,1.01,0.29,0.36,1.53,1.89,0.88
1.58,1.04,0.23,0.37,1.44,1.81,0.77
1.53,0.99,0.27,0.37,1.44,1.81,0.82
1.37,0.91,0.27,0.38,1.26,1.64,0.73
1.2,0.83,0.3,0.39,1.11,1.5,0.67
1.26,0.82,0.3,0.4,1.16,1.56,0.74
1.34,0.86,0.29,0.4,1.23,1.63,0.77
1.43,0.92,0.33,0.4,1.36,1.76,0.84
1.69,1.16,0.45,0.41,1.73,2.14,0.98
