ds,y
1-Aug-78,5.90
1-Sep-78,6.00
1-Oct-78,5.80
1-Nov-78,5.90
1-Dec-78,6.00
1-Jan-79,5.90
1-Feb-79,5.90
1-Mar-79,5.80
1-Apr-79,5.80
1-May-79,5.60
1-Jun-79,5.70
1-Jul-79,5.70
1-Aug-79,6.00
1-Sep-79,5.90
1-Oct-79,6.00
1-Nov-79,5.90
1-Dec-79,6.00
1-Jan-80,6.30
1-Feb-80,6.30
1-Mar-80,6.30
1-Apr-80,6.90
1-May-80,7.50
1-Jun-80,7.60
1-Jul-80,7.80
1-Aug-80,7.70
1-Sep-80,7.50
1-Oct-80,7.50
1-Nov-80,7.50
1-Dec-80,7.20
1-Jan-81,7.50
1-Feb-81,7.40
1-Mar-81,7.40
1-Apr-81,7.20
1-May-81,7.50
1-Jun-81,7.50
1-Jul-81,7.20
1-Aug-81,7.40
1-Sep-81,7.60
1-Oct-81,7.90
1-Nov-81,8.30
1-Dec-81,8.50
1-Jan-82,8.60
1-Feb-82,8.90
1-Mar-82,9.00
1-Apr-82,9.30
1-May-82,9.40
1-Jun-82,9.60
1-Jul-82,9.80
1-Aug-82,9.80
1-Sep-82,10.10
1-Oct-82,10.40
1-Nov-82,10.80
1-Dec-82,10.80
1-Jan-83,10.40
1-Feb-83,10.40
1-Mar-83,10.30
1-Apr-83,10.20
1-May-83,10.10
1-Jun-83,10.10
1-Jul-83,9.40
1-Aug-83,9.50
1-Sep-83,9.20
1-Oct-83,8.80
1-Nov-83,8.50
1-Dec-83,8.30
1-Jan-84,8.00
1-Feb-84,7.80
1-Mar-84,7.80
1-Apr-84,7.70
1-May-84,7.40
1-Jun-84,7.20
1-Jul-84,7.50
1-Aug-84,7.50
1-Sep-84,7.30
1-Oct-84,7.40
1-Nov-84,7.20
1-Dec-84,7.30
1-Jan-85,7.30
1-Feb-85,7.20
1-Mar-85,7.20
1-Apr-85,7.30
1-May-85,7.20
1-Jun-85,7.40
1-Jul-85,7.40
1-Aug-85,7.10
1-Sep-85,7.10
1-Oct-85,7.10
1-Nov-85,7.00
1-Dec-85,7.00
1-Jan-86,6.70
1-Feb-86,7.20
1-Mar-86,7.20
1-Apr-86,7.10
1-May-86,7.20
1-Jun-86,7.20
1-Jul-86,7.00
1-Aug-86,6.90
1-Sep-86,7.00
1-Oct-86,7.00
1-Nov-86,6.90
1-Dec-86,6.60
1-Jan-87,6.60
1-Feb-87,6.60
